Date,Open,High,Low,Close
2021-09-08T13:26:00+0530,402.7,409.8,401.9,406.2
2021-09-08T13:27:00+0530,406.2,407.45,397.95,400.6
2021-09-08T13:28:00+0530,400.6,402.7,397.6,398.7
2021-09-08T13:29:00+0530,399,401.1,394.5,401.05
2021-09-08T13:30:00+0530,401.05,401.15,388.25,396.1
2021-09-08T13:31:00+0530,396.1,397.6,390.05,394.2
2021-09-08T13:32:00+0530,394.2,396.95,393.05,393.05
2021-09-08T13:33:00+0530,393.05,400.85,387.85,400.85
2021-09-08T13:34:00+0530,401.65,419.75,400.85,418
2021-09-08T13:35:00+0530,418,419.8,410,410
2021-09-08T13:36:00+0530,409.6,417.8,407.9,414.2
2021-09-08T13:37:00+0530,414.2,416.25,407.95,412.85
2021-09-08T13:38:00+0530,412.85,412.85,402.7,404.1
2021-09-08T13:39:00+0530,401.9,411,401.9,407.05
2021-09-08T13:40:00+0530,407.05,412.6,404.4,412
2021-09-08T13:41:00+0530,412,417.55,410.4,413.45
2021-09-08T13:42:00+0530,413.45,414.35,405,406
2021-09-08T13:43:00+0530,406,406,395.1,397.55
2021-09-08T13:44:00+0530,397.55,398.4,392.05,394.65
2021-09-08T13:45:00+0530,393.4,402.85,393.4,395.8
2021-09-08T13:46:00+0530,396.6,401.75,390,398.65
2021-09-08T13:47:00+0530,398.65,399.5,390.05,394.05
2021-09-08T13:48:00+0530,394.05,400,391,391
2021-09-08T13:49:00+0530,391.9,396,391.5,396
2021-09-08T13:50:00+0530,396,407.3,396,401
2021-09-08T13:51:00+0530,401,403.8,395,397.25
2021-09-08T13:52:00+0530,397.25,397.25,393.05,393.9
2021-09-08T13:53:00+0530,393.9,397.45,392.8,394.85
2021-09-08T13:54:00+0530,394.85,398,391,391.15
2021-09-08T13:55:00+0530,391.15,391.15,378.85,384.4
2021-09-08T13:56:00+0530,384.4,400.45,384.4,398.15
2021-09-08T13:57:00+0530,398.4,404.15,394.05,394.05
2021-09-08T13:58:00+0530,394.05,402,394.05,401.2
2021-09-08T13:59:00+0530,401.2,406.4,396.8,402.7
2021-09-08T14:00:00+0530,403.5,412,400,408
2021-09-08T14:01:00+0530,408,416,400.2,400.2
2021-09-08T14:02:00+0530,400,410.15,400,409.9
2021-09-08T14:03:00+0530,410.75,413.4,405.35,411.15
2021-09-08T14:04:00+0530,410,412,405,405
2021-09-08T14:05:00+0530,405,412.5,405,407.35
2021-09-08T14:06:00+0530,407.35,412.1,406.85,409.05
2021-09-08T14:07:00+0530,409.05,409.4,405.6,408.25
2021-09-08T14:08:00+0530,408.25,432,408.25,426.6
2021-09-08T14:09:00+0530,426.6,428.35,420.9,424.65
2021-09-08T14:10:00+0530,424.65,434.8,422.9,430.9
2021-09-08T14:11:00+0530,430.9,433.6,425.85,429
2021-09-08T14:12:00+0530,427.7,430.3,423.2,425.05
2021-09-08T14:13:00+0530,425.05,427.35,417,420.9
2021-09-08T14:14:00+0530,421.35,437.9,421.35,434
2021-09-08T14:15:00+0530,434,443.7,432.85,432.85
2021-09-08T14:16:00+0530,432.2,432.85,423.2,423.2
2021-09-08T14:17:00+0530,423.2,426.55,421.15,423
2021-09-08T14:18:00+0530,423,428.85,419.6,419.6
2021-09-08T14:19:00+0530,419.6,426.35,414,414
2021-09-08T14:20:00+0530,413,416.95,408.15,416.95
2021-09-08T14:21:00+0530,417.35,419.85,405.15,405.15
2021-09-08T14:22:00+0530,405,410,405,408.1
2021-09-08T14:23:00+0530,408.1,410.75,406.9,408.35
2021-09-08T14:24:00+0530,405.95,408.35,401.5,401.5
2021-09-08T14:25:00+0530,401.5,405.25,399.9,402.55
2021-09-08T14:26:00+0530,402.55,404.8,400,402.6
2021-09-08T14:27:00+0530,402.6,404.95,396.45,402.3
2021-09-08T14:28:00+0530,402.3,411.15,402.3,407.55
2021-09-08T14:29:00+0530,407.55,408,396,397.2
2021-09-08T14:30:00+0530,397.2,408.8,395.4,407.3
2021-09-08T14:31:00+0530,407.3,418.25,407.3,414
2021-09-08T14:32:00+0530,414,416.2,408.85,416.2
2021-09-08T14:33:00+0530,416.2,417.35,412.1,416
2021-09-08T14:34:00+0530,416,416,412.55,415.9
2021-09-08T14:35:00+0530,415.9,419.95,414.2,418.05
2021-09-08T14:36:00+0530,417.35,418.6,404.55,404.55
2021-09-08T14:37:00+0530,404.55,410.65,403.1,406.65
